state,population,electoral_college_votes,democratic_votes,republican_votes,other_votes,total_votes,democratic_electoral_college_votes,republican_electoral_college_votes,population_adjusted_electoral_college_votes,electoral_college_vote_delta,adjusted_democratic_electoral_college_votes,adjusted_republican_electoral_college_votes,proportional_democratic_votes,proportional_republican_votes,proprtional_other_votes
Alabama,4858979,9,718084,1306925,53005,2078014,0,9,8,1,0,8,3,6,0
Alaska,738432,3,92013,129786,22947,244746,0,3,1,2,0,1,1,2,0
Arizona,6828065,11,864438,947824,95212,1907474,0,11,11,0,0,11,5,5,1
Arkansas,2978204,6,378729,677904,65051,1121684,0,6,5,1,0,5,2,4,0
California,39144818,55,5481885,2965704,471928,8919517,55,0,66,-11,66,0,34,18,3
Colorado,5456574,9,1126384,1075770,199113,2401267,9,0,9,0,9,0,4,4,1
Connecticut,3590886,7,823360,637919,67537,1528816,7,0,6,1,6,0,4,3,0
Delaware,945934,3,235581,185103,20851,441535,3,0,2,1,2,0,2,1,0
Florida,20271272,29,4485745,4605515,295490,9386750,0,29,34,-5,0,34,14,14,1
Georgia,10214860,16,1837300,2068623,124712,4030635,0,16,17,-1,0,17,7,8,0
Hawaii,1431603,4,251853,121648,33183,406684,4,0,2,2,2,0,2,1,0
Idaho,1654930,4,189677,407199,91359,688235,0,4,3,1,0,3,1,2,1
Illinois,12859995,20,2976534,2117479,278510,5372523,20,0,22,-2,22,0,11,8,1
Indiana,6619680,11,1029127,1554959,133618,2717704,0,11,11,0,0,11,4,6,1
Iowa,3123899,6,650790,798923,93167,1542880,0,6,5,1,0,5,3,3,0
Kansas,2911641,6,414592,655920,76104,1146616,0,6,5,1,0,5,2,3,0
Kentucky,4425092,8,628834,1202942,91628,1923404,0,8,7,1,0,7,3,5,0
Louisiana,4670724,8,799535,1178004,70192,2047731,0,8,8,0,0,8,3,5,0
Maine,1329328,4,350832,330072,51007,731911,4,0,2,2,2,0,2,2,0
Maryland,6006401,10,1497951,873646,102946,2474543,10,0,10,0,10,0,6,4,0
Massachusetts,6794422,11,1964433,1082521,183619,3230573,11,0,11,0,11,0,7,4,1
Michigan,9922576,16,2267373,2279210,242755,4789338,0,16,17,-1,0,17,8,8,1
Minnesota,5489594,10,1363745,1321017,226533,2911295,10,0,9,1,9,0,5,5,1
Mississippi,2992333,6,462139,677897,22522,1162558,0,6,5,1,0,5,2,3,0
Missouri,6083672,10,1054889,1585753,134456,2775098,0,10,10,0,0,10,4,6,0
Montana,1032949,3,166985,266245,33370,466600,0,3,2,1,0,2,1,2,0
Nebraska,1896190,5,273858,485819,45961,805638,0,5,3,2,0,3,2,3,0
Nevada,2890845,6,537753,511319,73918,1122990,6,0,5,1,5,0,3,3,0
New Hampshire,1330608,4,346816,345379,37267,729462,4,0,2,2,2,0,2,2,0
New Jersey,8958013,14,1964947,1502794,114695,3582436,14,0,15,-1,15,0,8,6,0
New Mexico,2085109,5,380724,315875,92242,788841,5,0,3,2,3,0,2,2,1
New York,19795791,29,4142719,2635300,261631,7039650,29,0,33,-4,33,0,17,11,1
North Carolina,10042802,15,2162074,2359603,127794,4649471,0,15,17,-2,0,17,7,8,0
North Dakota,756927,3,93526,216133,27309,336968,0,3,1,2,0,1,1,2,0
Ohio,11613423,18,2317001,2771984,236410,5325395,0,18,19,-1,0,19,8,9,1
Oklahoma,3911338,7,419788,947934,83334,1451056,0,7,7,0,0,7,2,5,0
Oregon,4028977,7,919591,725090,127869,1772550,7,0,7,0,7,0,4,3,1
Pennsylvania,12802503,20,2844705,2912941,212461,5970107,0,20,21,-1,0,21,10,10,1
Rhode Island,1056298,4,225445,165810,19751,411006,4,0,2,2,2,0,2,2,0
South Carolina,4896146,9,849469,1143611,91364,2084444,0,9,8,1,0,8,4,5,0
South Dakota,858469,3,117442,227701,24904,370047,0,3,1,2,0,1,1,2,0
Tennessee,6600299,11,865693,1515242,100104,2481039,0,11,11,0,0,11,4,7,0
Texas,27469114,38,3852923,4677115,353234,8883272,0,38,46,-8,0,46,16,20,2
Utah,2995919,6,217820,360634,199535,777989,0,6,5,1,0,5,2,3,2
Vermont,626042,3,178072,95025,18169,291266,3,0,1,2,1,0,2,1,0
Virginia,8382993,13,1916845,1731155,196759,3844759,13,0,14,-1,14,0,6,6,1
Washington,7170351,12,1118772,750719,117723,1987214,12,0,12,0,12,0,7,5,1
Washington DC,672228,3,260223,11553,8496,280272,3,0,1,2,1,0,3,0,0
West Virginia,1844128,5,187457,486198,34571,708226,0,5,3,2,0,3,1,3,0
Wisconsin,5771337,10,1382210,1409467,152943,2944620,0,10,10,0,0,10,5,5,1
Wyoming,586107,3,55949,174248,18545,248742,0,3,1,2,0,1,1,2,0
